,acc,val_acc,loss,val_loss,epoch,model,parameter
0,0.7832236886024475,0.8254944086074829,0.7317568063735962,0.5557364225387573,1,1D-CNN,default
1,0.819037914276123,0.8296729922294617,0.6058189868927002,0.5375659465789795,2,1D-CNN,default
2,0.8250421285629272,0.8335989713668823,0.58530193567276,0.5311335325241089,3,1D-CNN,default
3,0.8286117315292358,0.8335950374603271,0.5738277435302734,0.5324750542640686,4,1D-CNN,default
4,0.8309059739112854,0.8346152305603027,0.5694634914398193,0.5350494980812073,5,1D-CNN,default
0,0.7968892455101013,0.8292833566665649,0.6623840928077698,0.5395488739013672,1,1D-CNN,0p25Dropout
1,0.8301037549972534,0.8346935510635376,0.5469394326210022,0.5258079767227173,2,1D-CNN,0p25Dropout
2,0.838050365447998,0.8368063569068909,0.5199523568153381,0.5233726501464844,3,1D-CNN,0p25Dropout
3,0.8432719707489014,0.836122989654541,0.5045789480209351,0.5281954407691956,4,1D-CNN,0p25Dropout
4,0.8468278646469116,0.8384315371513367,0.4937886595726013,0.5310407280921936,5,1D-CNN,0p25Dropout
0,0.7780901789665222,0.8198139667510986,0.7523329257965088,0.5703923106193542,1,1D-CNN,256conv1D
1,0.8134142756462097,0.8262169361114502,0.6291972398757935,0.5494018793106079,2,1D-CNN,256conv1D
2,0.8198133111000061,0.8280830383300781,0.6076624989509583,0.5495941638946533,3,1D-CNN,256conv1D
3,0.8236714601516724,0.8285529613494873,0.5984578132629395,0.5433600544929504,4,1D-CNN,256conv1D
4,0.8257952928543091,0.8308439254760742,0.5926405191421509,0.5452439188957214,5,1D-CNN,256conv1D
0,0.772014856338501,0.8199158310890198,0.7713290452957153,0.577311635017395,1,1D-CNN,2strides
1,0.8079870939254761,0.8253045082092285,0.6421663165092468,0.5591201186180115,2,1D-CNN,2strides
2,0.8145427703857422,0.8277442455291748,0.6190428733825684,0.5500745177268982,3,1D-CNN,2strides
3,0.8185098767280579,0.8299725651741028,0.6097071170806885,0.5455781817436218,4,1D-CNN,2strides
4,0.8210945725440979,0.8327217698097229,0.6013782620429993,0.54411381483078,5,1D-CNN,2strides
0,0.7962254285812378,0.838129997253418,0.6609371304512024,0.4990963041782379,1,GRU,default
1,0.8322778940200806,0.8438358902931213,0.5304022431373596,0.4805834293365478,2,GRU,default
2,0.8377344608306885,0.8459917902946472,0.5114372372627258,0.4722109735012054,3,GRU,default
3,0.840167760848999,0.8475915193557739,0.5025262832641602,0.4693738520145416,4,GRU,default
4,0.8412551283836365,0.8487017750740051,0.4992193281650543,0.4677025377750397,5,GRU,default
0,0.788648247718811,0.8344488143920898,0.6755109429359436,0.5076717734336853,1,LSTM-dropout,default
1,0.8299458026885986,0.8410710692405701,0.5268194675445557,0.4853170216083526,2,LSTM-dropout,default
2,0.8343371748924255,0.8436048626899719,0.5115659236907959,0.4769056439399719,3,LSTM-dropout,default
3,0.8359708786010742,0.8442980051040649,0.5050681233406067,0.4728344976902008,4,LSTM-dropout,default
4,0.8375047445297241,0.8453181982040405,0.5015345215797424,0.4715238809585571,5,LSTM-dropout,default
0,0.7929560542106628,0.8376737833023071,0.6809319257736206,0.502790629863739,1,LSTM,default
1,0.8353651762008667,0.8455022573471069,0.5213804841041565,0.4734443426132202,2,LSTM,default
2,0.8417864441871643,0.8486606478691101,0.4968371391296386,0.4630011916160583,3,LSTM,default
3,0.844800591468811,0.8503916263580322,0.4858695566654205,0.4609570503234863,4,LSTM,default
4,0.8464525938034058,0.8510456085205078,0.4789452850818634,0.4568394124507904,5,LSTM,default
0,0.7739403247833252,0.8162992000579834,0.7648192048072815,0.6147084832191467,1,NN-only,default
1,0.8044742345809937,0.822790265083313,0.6545196771621704,0.589576005935669,2,NN-only,default
2,0.8097695708274841,0.8247816562652588,0.6332914233207703,0.5803416967391968,3,NN-only,default
3,0.8130585551261902,0.8249579071998596,0.6212759613990784,0.5765672922134399,4,NN-only,default
4,0.8147307634353638,0.8262306451797485,0.6136719584465027,0.5733968615531921,5,NN-only,default
0,0.7761693000793457,0.8162913918495178,0.7553842663764954,0.6111437678337097,1,NN-only,256-dim
1,0.8080458045005798,0.8215507864952087,0.6385565400123596,0.5912042260169983,2,NN-only,256-dim
2,0.8135565519332886,0.8235500454902649,0.617790162563324,0.5842680335044861,3,NN-only,256-dim
3,0.8159924149513245,0.824186384677887,0.606777548789978,0.5774523615837097,4,NN-only,256-dim
4,0.8180236220359802,0.8253573775291443,0.5999511480331421,0.5753788948059082,5,NN-only,256-dim
0,0.7595803141593933,0.8115507960319519,0.8164792656898499,0.6314952969551086,1,NN-only,64-dim
1,0.7939899563789368,0.8179008960723877,0.6941151022911072,0.6060795783996582,2,NN-only,64-dim
2,0.7996573448181152,0.8199941515922546,0.6723816394805908,0.5973343849182129,3,NN-only,64-dim
3,0.8030102252960205,0.8212472796440125,0.6598137021064758,0.5915578603744507,4,NN-only,64-dim
4,0.8046250343322754,0.8227589726448059,0.6524580121040344,0.5870041251182556,5,NN-only,64-dim
